metric,month,value
asp_value_usd_m,2025-12-01,187.6856356136936
asp_value_usd_m,2026-01-01,159.20098748248856
asp_value_usd_m,2026-02-01,125.65617991170282
asp_value_usd_m,2026-03-01,148.01423645408465
mop_inr,2020-01-01,3109.2563775096196
mop_inr,2020-02-01,4222.378483683673
mop_inr,2020-03-01,4129.2221317330595
mop_inr,2020-05-01,3150.039154196867
mop_inr,2020-06-01,2740.1908849962624
mop_inr,2020-07-01,3164.971709369075
mop_inr,2020-08-01,3405.6477753817435
mop_inr,2020-09-01,3334.4545129319717
mop_inr,2020-10-01,3486.67707250775
mop_inr,2020-11-01,3330.7653601025577
mop_inr,2020-12-01,2372.0664531785
mop_inr,2021-01-01,3171.498644294983
mop_inr,2021-02-01,3043.021413929217
mop_inr,2021-03-01,3216.98185528779
mop_inr,2021-04-01,2998.435445202582
mop_inr,2021-05-01,2705.172076140957
mop_inr,2021-06-01,2239.158115013527
mop_inr,2021-07-01,2673.062408254977
mop_inr,2021-08-01,2629.399868077128
mop_inr,2021-09-01,3071.9361828327437
mop_inr,2021-10-01,2546.5678341970574
mop_inr,2021-11-01,2588.6675818180543
mop_inr,2021-12-01,3037.573157827162
mop_inr,2022-01-01,2570.7583735455905
mop_inr,2022-02-01,2605.099078132159
mop_inr,2022-03-01,2946.6357709536787
mop_inr,2022-04-01,2714.929248115571
mop_inr,2022-05-01,2389.792942137006
mop_inr,2022-06-01,2482.3238327608074
mop_inr,2022-07-01,2579.597325479809
mop_inr,2022-08-01,2680.722819037398
mop_inr,2022-09-01,2673.7980698010088
mop_inr,2022-10-01,2628.6103102441803
mop_inr,2022-11-01,2589.6643686835873
mop_inr,2022-12-01,2294.453951654704
mop_inr,2023-01-01,2278.5608063201457
mop_inr,2023-02-01,2311.4448058584762
mop_inr,2023-03-01,2278.2220412937004
mop_inr,2023-04-01,2075.535308803004
mop_inr,2023-05-01,2172.542799305155
mop_inr,2023-06-01,2066.438491367181
mop_inr,2023-07-01,2238.510076463303
